Call Sign = ZSDA,	Ship Name = SA Agulhas,	Lloyds Num = 0
Date = 12/04/2016,	Time = 09:58,	
Latitude = 45 29.03  S,	Longitude = 060 06.79  E
Instr = Sippican Deep Blue,	Card Type = Sippican MK-21,	
Wind Instr = ,	Measur Method = 
Probe Serial Num = -1,	Ship Dir = -1,	Ship Speed = -1.00
Wind Dir = 301,	Wind Speed = 40.20
Dry Bulb Temp = 8.30,	Total Water Depth = -1.00

Full Resolution Values
Depth,	 Temp
0.67,	5.7600
1.34,	5.4600
2.01,	5.4000
2.68,	5.3800
3.34,	5.3800
4.01,	5.3800
4.68,	5.3600
5.35,	5.3700
6.02,	5.3800
6.69,	5.3800
7.36,	5.3700
8.03,	5.3300
8.69,	5.2900
9.36,	5.3200
10.03,	5.3700
10.70,	5.3700
11.37,	5.3700
12.04,	5.3700
12.70,	5.3600
13.37,	5.3600
14.04,	5.3600
14.71,	5.3600
15.38,	5.3600
16.05,	5.3600
16.71,	5.3600
17.38,	5.3600
18.05,	5.3600
18.72,	5.3600
19.38,	5.3600
20.05,	5.3600
20.72,	5.3600
21.39,	5.3600
22.06,	5.3600
22.72,	5.3600
23.39,	5.3600
24.06,	5.3600
24.73,	5.3500
25.39,	5.3500
26.06,	5.3600
26.73,	5.3600
27.40,	5.3600
28.06,	5.3600
28.73,	5.3500
29.40,	5.3500
30.06,	5.3500
30.73,	5.3500
31.40,	5.3600
32.06,	5.3600
32.73,	5.3500
33.40,	5.3500
34.07,	5.3600
34.73,	5.3600
35.40,	5.3600
36.07,	5.3500
36.73,	5.3500
37.40,	5.3500
38.07,	5.3500
38.73,	5.3500
39.40,	5.3500
40.06,	5.3500
40.73,	5.3600
41.40,	5.3500
42.06,	5.3500
42.73,	5.3500
43.40,	5.3500
44.06,	5.3500
44.73,	5.3500
45.39,	5.3500
46.06,	5.3500
46.73,	5.3500
47.39,	5.3500
48.06,	5.3400
48.72,	5.3400
49.39,	5.3400
50.06,	5.3400
50.72,	5.3500
51.39,	5.3500
52.05,	5.3500
52.72,	5.3500
53.38,	5.3500
54.05,	5.3400
54.71,	5.3400
55.38,	5.3300
56.05,	5.3400
56.71,	5.3400
57.38,	5.3300
58.04,	5.3200
58.71,	5.3100
59.37,	5.3100
60.04,	5.3000
60.70,	5.2900
61.37,	5.2700
62.03,	5.2400
62.70,	5.1900
63.36,	5.1200
64.03,	5.0800
64.69,	5.0500
65.36,	5.0300
66.02,	4.9700
66.69,	4.9300
67.35,	4.9100
68.01,	4.8700
68.68,	4.8100
69.34,	4.7600
70.01,	4.7100
70.67,	4.6600
71.34,	4.6300
72.00,	4.6000
72.66,	4.5800
73.33,	4.5600
73.99,	4.5500
74.66,	4.5400
75.32,	4.5200
75.98,	4.5100
76.65,	4.5000
77.31,	4.4900
77.98,	4.4800
78.64,	4.4400
79.30,	4.4000
79.97,	4.3700
80.63,	4.3500
81.30,	4.3300
81.96,	4.3200
82.62,	4.3000
83.29,	4.2900
83.95,	4.2800
84.61,	4.2800
85.28,	4.2700
85.94,	4.2700
86.60,	4.2600
87.27,	4.2600
87.93,	4.2500
88.59,	4.2500
89.26,	4.2500
89.92,	4.2400
90.58,	4.2400
91.24,	4.2400
91.91,	4.2300
92.57,	4.2300
93.23,	4.2300
93.90,	4.2300
94.56,	4.2300
95.22,	4.2200
95.88,	4.2100
96.55,	4.2000
97.21,	4.1900
97.87,	4.1900
98.53,	4.1800
99.20,	4.1800
99.86,	4.1700
100.52,	4.1700
101.18,	4.1600
101.85,	4.1500
102.51,	4.1500
103.17,	4.1400
103.83,	4.1400
104.49,	4.1300
105.16,	4.1300
105.82,	4.1200
106.48,	4.1200
107.14,	4.1100
107.80,	4.1000
108.47,	4.1000
109.13,	4.1000
109.79,	4.0900
110.45,	4.0900
111.11,	4.0800
111.77,	4.0700
112.44,	4.0600
113.10,	4.0600
113.76,	4.0500
114.42,	4.0500
115.08,	4.0400
115.74,	4.0400
116.40,	4.0400
117.06,	4.0400
117.73,	4.0400
118.39,	4.0300
119.05,	4.0300
119.71,	4.0300
120.37,	4.0200
121.03,	4.0200
121.69,	4.0200
122.35,	4.0100
123.01,	4.0100
123.67,	4.0200
124.33,	4.0100
125.00,	4.0200
125.66,	4.0200
126.32,	4.0100
126.98,	4.0100
127.64,	4.0100
128.30,	4.0100
128.96,	4.0000
129.62,	4.0000
130.28,	4.0000
130.94,	4.0000
131.60,	4.0000
132.26,	4.0100
132.92,	4.0100
133.58,	4.0000
134.24,	4.0000
134.90,	3.9900
135.56,	3.9900
136.22,	3.9900
136.88,	3.9900
137.54,	3.9900
138.20,	3.9900
138.86,	3.9900
139.52,	3.9900
140.18,	3.9900
140.84,	3.9900
141.50,	3.9900
142.16,	3.9900
142.82,	3.9800
143.48,	3.9700
144.14,	3.9600
144.79,	3.9400
145.45,	3.9300
146.11,	3.9300
146.77,	3.9200
147.43,	3.9200
148.09,	3.9200
148.75,	3.9200
149.41,	3.9100
150.07,	3.9100
150.73,	3.9100
151.39,	3.9000
152.04,	3.8700
152.70,	3.8400
153.36,	3.8300
154.02,	3.8300
154.68,	3.8200
155.34,	3.8200
156.00,	3.8100
156.65,	3.8100
157.31,	3.8000
157.97,	3.8000
158.63,	3.8000
159.29,	3.8000
159.95,	3.7900
160.60,	3.7800
161.26,	3.7800
161.92,	3.7800
162.58,	3.7700
163.24,	3.7700
163.90,	3.7700
164.55,	3.7700
165.21,	3.7700
165.87,	3.7700
166.53,	3.7700
167.18,	3.7700
167.84,	3.7700
168.50,	3.7700
169.16,	3.7700
169.82,	3.7700
170.47,	3.7700
171.13,	3.7600
171.79,	3.7500
172.44,	3.7500
173.10,	3.7500
173.76,	3.7400
174.42,	3.7300
175.07,	3.7200
175.73,	3.7200
176.39,	3.7100
177.05,	3.7000
177.70,	3.7000
178.36,	3.7000
179.02,	3.6900
179.67,	3.6700
180.33,	3.6600
180.99,	3.6600
181.64,	3.6600
182.30,	3.6600
182.96,	3.6600
183.61,	3.6500
184.27,	3.6400
184.93,	3.6300
185.58,	3.6200
186.24,	3.6200
186.90,	3.6200
187.55,	3.6100
188.21,	3.6100
188.87,	3.6000
189.52,	3.6100
190.18,	3.6100
190.83,	3.6000
191.49,	3.6000
192.15,	3.6000
192.80,	3.6000
193.46,	3.6000
194.11,	3.5900
194.77,	3.5900
195.43,	3.5900
196.08,	3.5900
196.74,	3.5900
197.39,	3.5900
198.05,	3.5900
198.70,	3.5800
199.36,	3.5800
200.02,	3.5800
200.67,	3.5800
201.33,	3.5800
201.98,	3.5800
202.64,	3.5700
203.29,	3.5700
203.95,	3.5700
204.60,	3.5600
205.26,	3.5600
205.91,	3.5600
206.57,	3.5600
207.22,	3.5500
207.88,	3.5500
208.53,	3.5400
209.19,	3.5400
209.84,	3.5500
210.50,	3.5400
211.15,	3.5400
211.81,	3.5400
212.46,	3.5400
213.12,	3.5300
213.77,	3.5300
214.43,	3.5200
215.08,	3.5000
215.74,	3.5000
216.39,	3.4900
217.04,	3.4900
217.70,	3.4900
218.35,	3.4900
219.01,	3.4800
219.66,	3.4800
220.32,	3.4700
220.97,	3.4700
221.62,	3.4700
222.28,	3.4600
222.93,	3.4600
223.59,	3.4500
224.24,	3.4400
224.89,	3.4200
225.55,	3.4100
226.20,	3.4100
226.85,	3.4100
227.51,	3.4100
228.16,	3.4100
228.81,	3.4100
229.47,	3.4100
230.12,	3.4100
230.78,	3.4100
231.43,	3.4200
232.08,	3.4200
232.74,	3.4200
233.39,	3.4200
234.04,	3.4200
234.69,	3.4100
235.35,	3.4100
236.00,	3.4100
236.65,	3.4000
237.31,	3.4000
237.96,	3.4000
238.61,	3.3800
239.27,	3.3700
239.92,	3.3600
240.57,	3.3500
241.22,	3.3400
241.88,	3.3200
242.53,	3.3200
243.18,	3.3200
243.83,	3.3200
244.49,	3.3000
245.14,	3.2700
245.79,	3.2600
246.44,	3.2700
247.10,	3.3000
247.75,	3.3500
248.40,	3.4200
249.05,	3.4700
249.70,	3.4700
250.36,	3.4700
251.01,	3.4700
251.66,	3.4800
252.31,	3.4800
252.96,	3.4700
253.62,	3.4700
254.27,	3.4700
254.92,	3.4700
255.57,	3.4700
256.22,	3.4700
256.88,	3.4800
257.53,	3.4900
258.18,	3.5000
258.83,	3.5000
259.48,	3.5100
260.13,	3.5100
260.78,	3.5100
261.44,	3.5100
262.09,	3.5100
262.74,	3.5200
263.39,	3.5200
264.04,	3.5200
264.69,	3.5200
265.34,	3.5200
265.99,	3.5300
266.64,	3.5500
267.29,	3.5700
267.95,	3.5600
268.60,	3.5400
269.25,	3.5400
269.90,	3.5600
270.55,	3.6000
271.20,	3.6200
271.85,	3.6300
272.50,	3.6400
273.15,	3.6500
273.80,	3.6500
274.45,	3.6400
275.10,	3.6400
275.75,	3.6400
276.40,	3.6400
277.05,	3.6300
277.70,	3.6100
278.35,	3.5600
279.00,	3.5000
279.65,	3.4700
280.30,	3.4600
280.95,	3.4500
281.60,	3.4500
282.25,	3.4500
282.90,	3.4400
283.55,	3.4400
284.20,	3.4400
284.85,	3.4300
285.50,	3.4300
286.15,	3.4500
286.80,	3.4600
287.45,	3.4600
288.10,	3.4500
288.75,	3.4600
289.40,	3.4600
290.05,	3.4700
290.70,	3.4700
291.35,	3.4800
292.00,	3.4800
292.64,	3.4800
293.29,	3.4800
293.94,	3.4800
294.59,	3.4800
295.24,	3.4800
295.89,	3.4800
296.54,	3.4800
297.19,	3.4800
297.84,	3.4800
298.49,	3.4800
299.13,	3.4800
299.78,	3.4800
300.43,	3.4700
301.08,	3.4700
301.73,	3.4700
302.38,	3.4700
303.02,	3.4700
303.67,	3.4700
304.32,	3.4800
304.97,	3.4800
305.62,	3.4800
306.27,	3.4800
306.91,	3.4800
307.56,	3.4800
308.21,	3.4800
308.86,	3.4800
309.51,	3.4800
310.15,	3.4700
310.80,	3.4700
311.45,	3.4700
312.10,	3.4800
312.75,	3.4800
313.39,	3.4900
314.04,	3.4900
314.69,	3.5000
315.34,	3.5000
315.98,	3.5100
316.63,	3.5200
317.28,	3.5300
317.93,	3.5300
318.57,	3.5400
319.22,	3.5400
319.87,	3.5500
320.52,	3.5500
321.16,	3.5400
321.81,	3.5100
322.46,	3.4900
323.10,	3.4900
323.75,	3.4800
324.40,	3.4800
325.04,	3.4800
325.69,	3.4800
326.34,	3.4800
326.99,	3.4700
327.63,	3.4700
328.28,	3.4700
328.93,	3.4700
329.57,	3.4800
