Call Sign = ZSDA,	Ship Name = SA Agulhas,	Lloyds Num = 0
Date = 12/06/2016,	Time = 15:03,	
Latitude = 54 34.81  S,	Longitude = 000 00.21  W
Instr = Sippican Deep Blue,	Card Type = Sippican MK-21,	
Wind Instr = ,	Measur Method = 
Probe Serial Num = -1,	Ship Dir = -1,	Ship Speed = -1.00
Wind Dir = 124,	Wind Speed = 16.10
Dry Bulb Temp = -0.50,	Total Water Depth = -1.00

Full Resolution Values
Depth,	 Temp
0.67,	0.2100
1.34,	-0.3400
2.01,	-0.5000
2.68,	-0.5200
3.34,	-0.5300
4.01,	-0.5500
4.68,	-0.5800
5.35,	-0.5900
6.02,	-0.6000
6.69,	-0.6200
7.36,	-0.6400
8.03,	-0.6500
8.69,	-0.6600
9.36,	-0.6700
10.03,	-0.7000
10.70,	-0.7100
11.37,	-0.7200
12.04,	-0.7200
12.70,	-0.7300
13.37,	-0.7300
14.04,	-0.7400
14.71,	-0.7300
15.38,	-0.7400
16.05,	-0.7400
16.71,	-0.7400
17.38,	-0.7400
18.05,	-0.7400
18.72,	-0.7400
19.38,	-0.7500
20.05,	-0.7400
20.72,	-0.7400
21.39,	-0.7400
22.06,	-0.7400
22.72,	-0.7500
23.39,	-0.7500
24.06,	-0.7400
24.73,	-0.7400
25.39,	-0.7400
26.06,	-0.7400
26.73,	-0.7500
27.40,	-0.7500
28.06,	-0.7600
28.73,	-0.7600
29.40,	-0.7700
30.06,	-0.7700
30.73,	-0.7700
31.40,	-0.7700
32.06,	-0.7700
32.73,	-0.7700
33.40,	-0.7800
34.07,	-0.7900
34.73,	-0.7800
35.40,	-0.7800
36.07,	-0.8000
36.73,	-0.8100
37.40,	-0.8200
38.07,	-0.8300
38.73,	-0.8400
39.40,	-0.8600
40.06,	-0.8700
40.73,	-0.8800
41.40,	-0.8900
42.06,	-0.8900
42.73,	-0.8900
43.40,	-0.9000
44.06,	-0.9100
44.73,	-0.9100
45.39,	-0.9200
46.06,	-0.9200
46.73,	-0.9200
47.39,	-0.9200
48.06,	-0.9300
48.72,	-0.9400
49.39,	-0.9500
50.06,	-0.9500
50.72,	-0.9600
51.39,	-0.9700
52.05,	-0.9700
52.72,	-0.9700
53.38,	-0.9700
54.05,	-0.9700
54.71,	-0.9800
55.38,	-0.9800
56.05,	-0.9800
56.71,	-0.9900
57.38,	-0.9900
58.04,	-0.9900
58.71,	-1.0000
59.37,	-1.0000
60.04,	-1.0100
60.70,	-1.0100
61.37,	-1.0200
62.03,	-1.0200
62.70,	-1.0200
63.36,	-1.0300
64.03,	-1.0300
64.69,	-1.0400
65.36,	-1.0600
66.02,	-1.0700
66.69,	-1.0800
67.35,	-1.0900
68.01,	-1.1100
68.68,	-1.1300
69.34,	-1.1400
70.01,	-1.1400
70.67,	-1.1400
71.34,	-1.1400
72.00,	-1.1500
72.66,	-1.1500
73.33,	-1.1500
73.99,	-1.1600
74.66,	-1.1700
75.32,	-1.1900
75.98,	-1.2000
76.65,	-1.2100
77.31,	-1.2300
77.98,	-1.2500
78.64,	-1.2600
79.30,	-1.2700
79.97,	-1.2700
80.63,	-1.2800
81.30,	-1.2800
81.96,	-1.2900
82.62,	-1.2900
83.29,	-1.3000
83.95,	-1.3000
84.61,	-1.3000
85.28,	-1.3100
85.94,	-1.3400
86.60,	-1.3600
87.27,	-1.3700
87.93,	-1.3800
88.59,	-1.3800
89.26,	-1.3800
89.92,	-1.3800
90.58,	-1.3800
91.24,	-1.3700
91.91,	-1.3600
92.57,	-1.3400
93.23,	-1.3400
93.90,	-1.3400
94.56,	-1.3400
95.22,	-1.3400
95.88,	-1.3400
96.55,	-1.3400
97.21,	-1.3400
97.87,	-1.3400
98.53,	-1.3400
99.20,	-1.3400
99.86,	-1.3500
100.52,	-1.3500
101.18,	-1.3500
101.85,	-1.3500
102.51,	-1.3500
103.17,	-1.3500
103.83,	-1.3300
104.49,	-1.3200
105.16,	-1.3100
105.82,	-1.3000
106.48,	-1.2900
107.14,	-1.2900
107.80,	-1.2900
108.47,	-1.2800
109.13,	-1.2800
109.79,	-1.2700
110.45,	-1.2700
111.11,	-1.2600
111.77,	-1.2500
112.44,	-1.2400
113.10,	-1.2300
113.76,	-1.2400
114.42,	-1.2400
115.08,	-1.2400
115.74,	-1.2400
116.40,	-1.2400
117.06,	-1.2400
117.73,	-1.2400
118.39,	-1.2400
119.05,	-1.2500
119.71,	-1.2500
120.37,	-1.2600
121.03,	-1.2600
121.69,	-1.2600
122.35,	-1.2800
123.01,	-1.2800
123.67,	-1.2900
124.33,	-1.2900
125.00,	-1.3000
125.66,	-1.3000
126.32,	-1.3000
126.98,	-1.3000
127.64,	-1.3100
128.30,	-1.3100
128.96,	-1.3000
129.62,	-1.2800
130.28,	-1.2600
130.94,	-1.2500
131.60,	-1.2300
132.26,	-1.2300
132.92,	-1.2200
133.58,	-1.2200
134.24,	-1.2000
134.90,	-1.1800
135.56,	-1.1600
136.22,	-1.1300
136.88,	-1.1000
137.54,	-1.0800
138.20,	-1.0800
138.86,	-1.0700
139.52,	-1.0700
140.18,	-1.0600
140.84,	-1.0400
141.50,	-1.0300
142.16,	-1.0100
142.82,	-1.0000
143.48,	-0.9900
144.14,	-0.9800
144.79,	-0.9800
145.45,	-0.9800
146.11,	-0.9700
146.77,	-0.9600
147.43,	-0.9600
148.09,	-0.9500
148.75,	-0.9200
149.41,	-0.8900
150.07,	-0.8500
150.73,	-0.7900
151.39,	-0.7300
152.04,	-0.6900
152.70,	-0.6700
153.36,	-0.6500
154.02,	-0.6400
154.68,	-0.6200
155.34,	-0.6000
156.00,	-0.5800
156.65,	-0.5300
157.31,	-0.4100
157.97,	-0.3000
158.63,	-0.2400
159.29,	-0.2000
159.95,	-0.1800
160.60,	-0.1500
161.26,	-0.1200
161.92,	-0.0900
162.58,	-0.0700
163.24,	-0.0600
163.90,	-0.0300
164.55,	0.0000
165.21,	0.0300
165.87,	0.0500
166.53,	0.0800
167.18,	0.1100
167.84,	0.1400
168.50,	0.1600
169.16,	0.1800
169.82,	0.2200
170.47,	0.2500
171.13,	0.2700
171.79,	0.2900
172.44,	0.3000
173.10,	0.3100
173.76,	0.3100
174.42,	0.3400
175.07,	0.4200
175.73,	0.4900
176.39,	0.5400
177.05,	0.6200
177.70,	0.7500
178.36,	0.8600
179.02,	0.9300
179.67,	0.9500
180.33,	0.9500
180.99,	0.9600
181.64,	0.9600
182.30,	0.9600
182.96,	0.9700
183.61,	0.9700
184.27,	0.9700
184.93,	1.0000
185.58,	1.0300
186.24,	1.0800
186.90,	1.1300
187.55,	1.1600
188.21,	1.1700
188.87,	1.1900
189.52,	1.2000
190.18,	1.2100
190.83,	1.2300
191.49,	1.2700
192.15,	1.3100
192.80,	1.3300
193.46,	1.3400
194.11,	1.3400
194.77,	1.3400
195.43,	1.3500
196.08,	1.3500
196.74,	1.3500
197.39,	1.3500
198.05,	1.3500
198.70,	1.3500
199.36,	1.3500
200.02,	1.3500
200.67,	1.3500
201.33,	1.3500
201.98,	1.3500
202.64,	1.3500
203.29,	1.3500
203.95,	1.3600
204.60,	1.3600
205.26,	1.3600
205.91,	1.3600
206.57,	1.3700
207.22,	1.3700
207.88,	1.3700
208.53,	1.3800
209.19,	1.3800
209.84,	1.3900
210.50,	1.3900
211.15,	1.4000
211.81,	1.4100
212.46,	1.4100
213.12,	1.4200
213.77,	1.4200
214.43,	1.4400
215.08,	1.4700
215.74,	1.4900
216.39,	1.5000
217.04,	1.5100
217.70,	1.5100
218.35,	1.5200
219.01,	1.5200
219.66,	1.5200
220.32,	1.5300
220.97,	1.5300
221.62,	1.5300
222.28,	1.5300
222.93,	1.5300
223.59,	1.5300
224.24,	1.5300
224.89,	1.5300
225.55,	1.5300
226.20,	1.5300
226.85,	1.5300
227.51,	1.5300
228.16,	1.5300
228.81,	1.5300
229.47,	1.5400
230.12,	1.5400
230.78,	1.5500
231.43,	1.5600
232.08,	1.5700
232.74,	1.5700
233.39,	1.5700
234.04,	1.5700
234.69,	1.5700
235.35,	1.5700
236.00,	1.5700
236.65,	1.5800
237.31,	1.5800
237.96,	1.5800
238.61,	1.5800
239.27,	1.5800
239.92,	1.5900
240.57,	1.5900
241.22,	1.5900
241.88,	1.5900
242.53,	1.6000
243.18,	1.6000
243.83,	1.6000
244.49,	1.6000
245.14,	1.6000
245.79,	1.6000
246.44,	1.6000
247.10,	1.6000
247.75,	1.6000
248.40,	1.6000
249.05,	1.6000
249.70,	1.6100
250.36,	1.6100
251.01,	1.6100
251.66,	1.6100
252.31,	1.6100
252.96,	1.6100
253.62,	1.6200
254.27,	1.6100
254.92,	1.6200
255.57,	1.6100
256.22,	1.6100
256.88,	1.6200
257.53,	1.6200
258.18,	1.6200
258.83,	1.6200
259.48,	1.6200
260.13,	1.6200
260.78,	1.6300
261.44,	1.6300
262.09,	1.6300
262.74,	1.6200
263.39,	1.6200
264.04,	1.6200
264.69,	1.6200
265.34,	1.6200
265.99,	1.6200
266.64,	1.6200
267.29,	1.6200
267.95,	1.6300
268.60,	1.6200
269.25,	1.6300
269.90,	1.6300
270.55,	1.6300
271.20,	1.6300
271.85,	1.6300
272.50,	1.6300
273.15,	1.6300
273.80,	1.6300
274.45,	1.6300
275.10,	1.6300
275.75,	1.6300
276.40,	1.6300
277.05,	1.6300
277.70,	1.6300
278.35,	1.6300
279.00,	1.6400
279.65,	1.6300
280.30,	1.6400
280.95,	1.6400
281.60,	1.6400
282.25,	1.6400
282.90,	1.6400
283.55,	1.6400
284.20,	1.6400
284.85,	1.6300
285.50,	1.6400
286.15,	1.6400
286.80,	1.6400
287.45,	1.6400
288.10,	1.6400
288.75,	1.6400
289.40,	1.6400
290.05,	1.6400
290.70,	1.6400
291.35,	1.6500
292.00,	1.6500
292.64,	1.6500
293.29,	1.6500
293.94,	1.6500
294.59,	1.6500
295.24,	1.6500
295.89,	1.6600
296.54,	1.6700
297.19,	1.6700
297.84,	1.6800
298.49,	1.6800
299.13,	1.6800
299.78,	1.6800
300.43,	1.6800
301.08,	1.6900
301.73,	1.6900
302.38,	1.6900
303.02,	1.6900
303.67,	1.6900
304.32,	1.6900
304.97,	1.6900
305.62,	1.6900
306.27,	1.6900
306.91,	1.6900
307.56,	1.6900
308.21,	1.6900
308.86,	1.6900
309.51,	1.6900
310.15,	1.6900
310.80,	1.7000
311.45,	1.7000
312.10,	1.6900
312.75,	1.7000
313.39,	1.7000
